Repo Name,Number of Functions,Alive Mutants,Mutants with Execution Errors,Mutants with syntax errors,passed count,failed count,Mean Distance
charset_normalizer,23,66,0,3,,,0.47586206896551725
pantherdb,12,3,0,0,,,0.3247602932882121
async-lru,0,0,0,0,,,
datefinder,65,168,0,15,,,0.46616541353383456
executing,19,55,0,2,,,0.4824561403508772
sqlparse,54,16,0,3,,,0.35159074475777297
phantom-types,11,0,33,0,,,0.0
python-pathspec,21,21,0,7,,,0.37648809523809523
dateutil,77,223,0,8,,,0.5138248847926268
python-pathspec,21,24,0,1,,,0.37648809523809523
dateutil,77,224,0,7,,,0.5138248847926268
protobuf,0,0,0,0,,,
soupsieve,47,60,0,3,,,0.7064097417369196
texttable,25,0,0,2,,,0.0
tenacity,14,15,0,1,,,0.6996951219512195
pydoclint,59,36,0,7,,,0.6640506496075975
idna,7,20,0,1,,,1.0
dataclasses-json,21,16,0,1,,,0.5527052926433732
xmltodict,18,31,0,3,,,0.7546296296296297
asciitree,1,0,0,0,,,0.0
objgraph,2,0,0,0,,,0.0
overrides,16,6,0,0,,,0.3535539215686274
tinydb,0,0,0,0,,,
toolz,52,148,0,2,,,0.986965811965812
python-rsa,0,0,0,0,,,
beautifulsoup,0,0,0,0,,,
python-rsa,0,0,0,0,,,
beautifulsoup,0,0,0,0,,,
beniget,0,0,0,0,,,
