repo,total_mutants,killed_mutants,duplicate_mutants,subsuming_mutants,subsumed_mutants,unique_mutants,% Duplicates,% Subsuming,% Subsumed,% Unique
Python,4764,6,4760,0,0,6,79333.33333333334,0.0,0.0,100.0
dateutil,434,192,431,0,0,192,224.47916666666666,0.0,0.0,100.0
datefinder,399,206,390,2,7,197,189.32038834951456,0.9708737864077669,3.3980582524271843,95.63106796116504
sqlparse,324,303,280,23,93,187,92.4092409240924,7.590759075907591,30.693069306930692,61.71617161716172
pantherdb,197,187,181,5,25,157,96.79144385026738,2.6737967914438503,13.368983957219251,83.9572192513369
pycasbin,180,141,142,21,118,2,100.70921985815602,14.893617021276595,83.68794326241135,1.4184397163120568
pydoclint,177,130,128,20,47,63,98.46153846153847,15.384615384615385,36.15384615384615,48.46153846153846
toolz,156,6,153,0,0,6,2550.0,0.0,0.0,100.0
charset_normalizer,145,72,142,0,0,72,197.22222222222223,0.0,0.0,100.0
soupsieve,141,54,122,12,45,-3,225.9259259259259,22.22222222222222,83.33333333333334,-5.555555555555555
python-pathspec,126,87,110,7,21,59,126.4367816091954,8.045977011494253,24.137931034482758,67.81609195402298
executing,114,55,111,0,0,55,201.8181818181818,0.0,0.0,100.0
opt_einsum,90,73,57,17,44,12,78.08219178082192,23.28767123287671,60.273972602739725,16.43835616438356
texttable,75,73,73,0,0,73,100.0,0.0,0.0,100.0
command-line-chess,66,61,64,0,0,61,104.91803278688525,0.0,0.0,100.0
tomli,66,66,65,0,0,66,98.48484848484848,0.0,0.0,100.0
phantom-types,66,33,64,0,0,33,193.93939393939394,0.0,0.0,100.0
dataclasses-json,63,20,49,7,10,3,245.00000000000003,35.0,50.0,15.0
xmltodict,54,21,42,8,17,-4,200.0,38.095238095238095,80.95238095238095,-19.047619047619047
tenacity,48,27,40,1,9,17,148.14814814814815,3.7037037037037033,33.33333333333333,62.96296296296296
overrides,48,13,39,3,4,6,300.0,23.076923076923077,30.76923076923077,46.15384615384615
idna,21,0,20,0,0,0,0.0,0.0,0.0,0.0
treemaker,18,0,17,0,0,0,0.0,0.0,0.0,0.0
python-readchar,9,0,7,0,0,0,0.0,0.0,0.0,0.0
objgraph,6,6,5,0,0,6,83.33333333333334,0.0,0.0,100.0
asciitree,3,3,2,0,0,3,66.66666666666666,0.0,0.0,100.0
